DRC,04-06-2026,"Cohort 1 was symptomatic from 14–23 May, peaking on 18 May, suggesting a probable common source. Cohort 2 developed symptoms from 25 May to 3 June, indicating continued spread and a potential large reservoir."
DRC,15-06-2026,"766 alerts, 678 investigated (88.5%). 274 alive validated, 96 deceased. 235 suspected cases (61 deaths). Contacts: 6,475 followed, 4,171 seen (64.4%). 44/55 PoC activated (80.0%). 56,294 travelers. Screening: 95.0%. Handwashing: 94.8%. Sensitization: 97.0%. 7 alerts notified and validated. 5 alerts transferred to ETC or SDB. 2 dead bodies intercepted at Dele and Nyori PoC without SDB due to late EDS team arrival. Incident: 5 PoE/PoC staff sequestered by uniformed elements for allegedly spreading the disease."
