"nom","pop_count"
"Gombe","233696.410073972"
"Kinshasa","98943.4203547149"
"Kintambo","123231.594358949"
"Kokolo","215220.565584279"
"Lingwala","80548.0164546536"
"Mont Ngafula 1","816861.272853057"
"Mont Ngafula 2","555780.850112524"
"Police","38331.0057843536"
"Selembao","480898.440613706"
"Boma","371797.04061509"
"Boma Bungu","128380.955207648"
"Kangu","241426.778486171"
"Kinkonzi","139175.064260324"
"Kitona","23091.6554270169"
"Kizu","157942.863436293"
"Kuimba","148865.968632909"
"Lukula","404576.936065476"
"Muanda","500397.518219624"
"Tshela","153280.480360144"
"Vaku","102793.165484714"
"Inga","201306.749768966"
"Kibunzi","80437.8292950872"
"Luozi","194828.258790905"
"Mangembo","151391.888025831"
"Matadi","546510.46926113"
"Nsona Mpangu","240121.834093003"
"Nzanza","159856.197152803"
"Seke Banza","303911.840226613"
"Boko Kivulu","336574.568827909"
"Gombe Matadi","196867.080400014"
"Kimpangu","149035.696181217"
"Kimpese","372132.897330073"
"Kimvula","166018.295754356"
"Kisantu","441388.217486241"
"Kwilu Ngongo","305937.622571709"
"Massa","236340.003488499"
"Mbanza Ngungu","323479.557407117"
"Ngidinga","210007.938500502"
"Nselo","132845.906361888"
"Sona Bata","102726.754377093"
"Kahemba","233882.180195776"
"Kajiji","103963.70409245"
"Kisanji","115472.156943767"
"Panzi","295314.229111529"
"Tembo","115886.094386151"
"Boko","253850.989100503"
"Feshi","248999.485167591"
"Kasongo Lunda","206966.029799814"
"Kenge","494608.781374188"
"Kimbao","217760.71138371"
"Kitenda","133585.006525206"
"Mwela Lembwa","132543.067939204"
"Popokabaka","310442.24687741"
"Wamba Lwadi","211523.340400647"
"Bagata","274955.641449546"
"Bandundu","363064.438303042"
"Djuma","354435.403761173"
"Kikongo","258217.804420476"
"Sia","190856.824224031"
"Vanga","500131.77741423"
"Bulungu","488023.953181928"
"Gungu","366623.510572331"
"Idiofa","590299.497705996"
"Ipamu","386090.51233063"
"Kikwit Nord","398911.765901753"
"Kikwit Sud","317376.076135213"
"Kimputu","229596.788387642"
"Kingandu","160857.34004441"
"Koshibanda","335050.754814618"
"Lusanga","504209.272560262"
"Masi Manimba","317832.815290032"
"Moanza","152063.341081952"
"Mokala","322664.95342737"
"Mosango","219791.154227967"
"Mukedi","324073.236152899"
"Mungindu","180149.905013311"
"Pay Kongila","255732.138831638"
"Yasa Bonga","378062.874597171"
"Kabinda","367094.815067082"
"Kalambayi Kabanga","157842.926422093"
"Kalonda Est","127537.612564344"
"Kamana","134642.568814552"
"Lubao","164301.769943335"
"Ludimbi Lukula","141305.033939396"
"Mulumba","264419.49841845"
"Ngandajika","205932.798479563"
"Tshofa","158326.435191759"
"Kalenda","214273.598884674"
"Kamiji","88702.0636450743"
"Kanda Kanda","188046.970263155"
"Luputa","320516.935546989"
"Makota","117230.518217477"
"Mweneditu","299479.162749067"
"Wikong","115398.468070929"
"Dilolo","187071.877818206"
"Kafakumba","103840.619546638"
"Kalamba","102941.620030934"
"Kapanga","173778.281730854"
"Kasaji","250778.296518045"
"Sandoa","210829.865960967"
"Bunkeya","57446.419643412"
"Dilala","345583.228222048"
"Fungurume","397394.026918105"
"Kanzenze","157115.187548325"
"Lualaba","246137.269349122"
"Lubudi","95166.4058910328"
"Manika","403631.860332914"
"Mutshatsha","32321.1822056156"
"Banzow Moke","168924.770894738"
"Inongo","252439.614872888"
"Kiri","149638.570362532"
"Mimia","48970.6429125614"
"Ntandembelo","166952.344383296"
"Oshwe","259034.997153825"
"Pendjwa","93987.434989215"
"Yumbi","181207.269099308"
"Bokoro","377549.233757258"
"Bolobo","191313.191789529"
"Bosobe","173212.521894121"
"Kwamouth","189887.437552455"
"Mushie","204182.930507551"
"Nioki","224373.067042248"
"Kabambare","100675.59235817"
"Kampene","182964.110171746"
"Kasongo","385245.413367619"
"Kibombo","120871.205906633"
"Kunda","328180.014491651"
"Lusangi","153183.101010401"
"Saramabila","245178.337519239"
"Tunda","79802.1278826024"
"Alunguli","89503.6613623159"
"Kailo","189855.191039959"
"Kalima","211151.701905312"
"Kindu","366826.331997836"
"Pangi","78157.2186326685"
"Samba","150436.594603561"
"Ferekeni","60946.4367243508"
"Lubutu","172286.623360568"
"Obokote","48212.9268903422"
"Punia","159406.759999255"
"Bumba","285812.524290034"
"Lolo","200257.554336613"
"Yamaluka","133017.78073415"
"Yambuku","508635.121009152"
"Yamongili","183543.72317902"
"Binga","212293.030070199"
"Bongandanga","72278.6647136819"
"Boso Manzi","159699.738446677"
"Boso Mondanda","140616.794078929"
"Bosondjo","160948.369964802"
"Lisala","354997.597935067"
"Pimu","205040.629816547"
"Alimbongo","296820.662478323"
"Beni","428853.658884277"
"Biena","136159.010172674"
"Butembo","289377.881656445"
"Kalunguta","191731.550595345"
"Kamango","111428.26646979"
"Katwa","612242.341814758"
"Kyondo","270343.895203815"
"Lubero","377506.042787607"
"Mabalako","197136.159358413"
"Manguredjipa","68013.7287993651"
"Masereka","298636.156530351"
"Musienene","348391.565967863"
"Mutwanga","255278.359169078"
"Oicha","274997.934806786"
"Vuhovi","151952.6429739"
"Bambo","134970.462815797"
"Binza","191405.66379277"
"Birambizo","127939.297461902"
"Goma","282838.298423046"
"Itebero","96851.1840207458"
"Karisimbi","403400.688067297"
"Katoyi","253834.505171522"
"Kayna","322627.850693047"
"Kibirizi","185416.374839013"
"Kibua","63614.8906077197"
"Kirotshe","541954.697708047"
"Masisi","356753.827128422"
"Mweso","289637.125197197"
"Nyiragongo","248138.636326646"
"Pinga","101157.348245099"
"Rutshuru","343487.215947068"
"Rwanguba","320999.396267102"
"Walikale","176259.344236267"
"Abuzi","143495.897079163"
"Bili (Nord-Ubangi)","215958.326872772"
"Bosobolo","206345.438572375"
"Businga","153726.411652417"
"Gbadolite","188077.078941805"
"Karawa","335469.043764877"
"Loko","166235.41552803"
"Mobayi Mbongo","155335.922676002"
"Wapinda","97711.9715464937"
"Wasolo","99273.9824305183"
"Yakoma","167061.6206003"
"Bena Dibele","141043.681627981"
"Djalo Ndjeka","82016.5682116863"
"Katako Kombe","179220.854645882"
"Kole","169505.465871231"
"Lodja","410715.32437797"
"Lomela","147856.413844977"
"Lusambo","172555.14554542"
"Omendjadi","164319.496269777"
"Ototo","187594.711543571"
"Tshudi Loto","75160.6757524857"
"Vanga Kete","188186.087554384"
"Dikungu","156966.748990659"
"Minga","167408.032814655"
"Pania Mutombo","79458.8023750868"
"Tshumbe","150797.072458631"
"Wembo Nyama","125859.933293634"
"Bagira","211256.487737879"
"Bunyakiri","222892.694411349"
"Ibanda","368152.170708707"
"Idjwi","275582.22988952"
"Kabare","312733.67913993"
"Kadutu","267941.620753476"
"Kalehe","178353.89458843"
"Kalole","170687.27458817"
"Kalonge","138362.66698974"
"Kamituga","136834.943903111"
"Kaniola","225669.426489456"
"Katana","248136.929012709"
"Kaziba","116320.804051614"
"Kitutu","166071.705241436"
"Lulingu","131970.805198763"
"Minova","341381.302887561"
"Miti Murhesa","303982.79461199"
"Mubumbano","244896.252339659"
"Mulungu","121467.892461611"
"Mwana","241869.440695238"
"Mwenga","125153.215624483"
"Nyangezi","166899.204253532"
"Nyantende","171660.282316635"
"Shabunda","244338.486021253"
"Walungu","332722.899691326"
"Fizi","512745.207053861"
"Haut Plateau","73828.8562115194"
"Itombwe","69301.929669531"
"Kimbi Lulenge","196140.985869484"
"Lemera","248475.20319609"
"Minembwe","107874.495482433"
"Nundu","185715.195553474"
"Ruzizi","279730.324909974"
"Uvira","424289.013962265"
"Bangabola","162080.126902068"
"Bogosenubea","245338.319993933"
"Bokonzi","238075.424264785"
"Bominenge","124074.018666259"
"Boto","250490.494275054"
"Budjala","196391.468774631"
"Bulu","167481.440225607"
"Bwamanda","366515.210716576"
"Gemena","539942.928712511"
"Kungu","232549.878666973"
"Libenge","291358.640061024"
"Mawuya","164053.430531176"
"Mbaya","82397.2769422509"
"Ndage","174765.765696174"
"Tandala","324977.477658824"
"Zongo","122258.926348881"
"Bafwagbogbo","65512.3550559499"
"Bafwasende","132263.502085224"
"Banalia","195653.723121955"
"Bengamisa","191522.022207833"
"Kabondo","204628.878814158"
"Lowa","68183.0228231227"
"Lubunga (Tshopo)","154711.572480726"
"Makiso Kisangani","535797.872761369"
"Mangobo","188651.520497525"
"Opala","181723.906603141"
"Opienge","48425.3582314957"
"Tshopo","172884.632292774"
"Ubundu","157479.354022615"
"Wanierukula","155297.06041224"
"Yahisuli","127247.501668853"
"Yakusu","155690.098433475"
"Yaleko","216624.296688856"
"Basali","71182.165333241"
"Basoko","205746.366156449"
"Isangi","243447.013722477"
"Yabaondo","227450.874508204"
"Yahuma","218431.478294389"
"Yalimbongo","112529.510491659"
"Befale","150305.194195629"
"Boende","375960.029902932"
"Djolu","341802.970023098"
"Lingomo","196597.613727685"
"Mompono","142741.572742211"
"Monkoto","184600.594464535"
"Wema","119541.063124113"
"Bokungu","222295.459027885"
"Busanga","90481.2726486424"
"Ikela","184905.60755671"
"Mondombe","228427.899054548"
"Yalifafu","171841.763425366"
"Ankoro","212229.558330416"
"Kabalo","303962.609040116"
"Kalemie","331401.787748616"
"Kansimba","199309.8818909"
"Kiambi","125775.579492386"
"Kongolo","397382.983420353"
"Manono","352497.390481259"
"Mbulula","264450.110185649"
"Moba","474834.174222661"
"Nyemba","378112.208234755"
"Nyunzu","243347.95771228"
